city,city_ascii,lat,lng,admin_name,population,country_id2
Tokyo,Tokyo,35.6839,139.7744,TÅkyÅ,39105000,1
Jakarta,Jakarta,-6.2146,106.8451,Jakarta,35362000,2
Delhi,Delhi,28.6667,77.2167,Delhi,31870000,3
Manila,Manila,14.6,120.9833,Manila,23971000,4
SÃ£o Paulo,Sao Paulo,-23.5504,-46.6339,SÃ£o Paulo,22495000,5
Seoul,Seoul,37.56,126.99,Seoul,22394000,6
Mumbai,Mumbai,19.0758,72.8775,MahÄrÄshtra,22186000,3
Shanghai,Shanghai,31.1667,121.4667,Shanghai,22118000,7
Mexico City,Mexico City,19.4333,-99.1333,Ciudad de MÃ©xico,21505000,8
Guangzhou,Guangzhou,23.1288,113.259,Guangdong,21489000,7
Cairo,Cairo,30.0444,31.2358,Al QÄhirah,19787000,9
Beijing,Beijing,39.904,116.4075,Beijing,19437000,7
New York,New York,40.6943,-73.9249,New York,18713220,10
KolkÄta,Kolkata,22.5727,88.3639,West Bengal,18698000,3
Moscow,Moscow,55.7558,37.6178,Moskva,17693000,11
Bangkok,Bangkok,13.75,100.5167,Krung Thep Maha Nakhon,17573000,12
Dhaka,Dhaka,23.7289,90.3944,Dhaka,16839000,13
Buenos Aires,Buenos Aires,-34.5997,-58.3819,"Buenos Aires, Ciudad AutÃ³noma de",16216000,14
ÅŒsaka,Osaka,34.752,135.4582,ÅŒsaka,15490000,1
Lagos,Lagos,6.45,3.4,Lagos,15487000,15
Istanbul,Istanbul,41.01,28.9603,Ä°stanbul,15311000,16
Karachi,Karachi,24.86,67.01,Sindh,15292000,17
Kinshasa,Kinshasa,-4.3317,15.3139,Kinshasa,15056000,18
Shenzhen,Shenzhen,22.535,114.054,Guangdong,14678000,7
Bangalore,Bangalore,12.9791,77.5913,KarnÄtaka,13999000,3
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Há»“ ChÃ­ Minh,13954000,19
Tehran,Tehran,35.7,51.4167,TehrÄn,13819000,20
Los Angeles,Los Angeles,34.1139,-118.4068,California,12750807,10
Rio de Janeiro,Rio de Janeiro,-22.9083,-43.1964,Rio de Janeiro,12486000,5
Chengdu,Chengdu,30.66,104.0633,Sichuan,11920000,7
Baoding,Baoding,38.8671,115.4845,Hebei,11860000,7
Chennai,Chennai,13.0825,80.275,Tamil NÄdu,11564000,3
Lahore,Lahore,31.5497,74.3436,Punjab,11148000,17
London,London,51.5072,-0.1275,"London, City of",11120000,21
Paris,Paris,48.8566,2.3522,ÃŽle-de-France,11027000,22
Tianjin,Tianjin,39.1467,117.2056,Tianjin,10932000,7
Linyi,Linyi,35.0606,118.3425,Shandong,10820000,7
Shijiazhuang,Shijiazhuang,38.0422,114.5086,Hebei,10784600,7
Zhengzhou,Zhengzhou,34.7492,113.6605,Henan,10136000,7
Nanyang,Nanyang,32.9987,112.5292,Henan,10013600,7
HyderÄbÄd,Hyderabad,17.3617,78.4747,Telangana,9840000,3
Wuhan,Wuhan,30.5872,114.2881,Hubei,9729000,7
Handan,Handan,36.6116,114.4894,Hebei,9549700,7
Nagoya,Nagoya,35.1167,136.9333,Aichi,9522000,1
Weifang,Weifang,36.7167,119.1,Shandong,9373000,7
Lima,Lima,-12.06,-77.0375,Lima,8992000,23
Zhoukou,Zhoukou,33.625,114.6418,Henan,8953172,7
Luanda,Luanda,-8.8383,13.2344,Luanda,8883000,24
Ganzhou,Ganzhou,25.8292,114.9336,Jiangxi,8677600,7
Tongshan,Tongshan,34.261,117.1859,Jiangsu,8669000,7
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Kuala Lumpur,8639000,25
Chicago,Chicago,41.8373,-87.6862,Illinois,8604203,10
Heze,Heze,35.2333,115.4333,Shandong,8287693,7
Chongqing,Chongqing,29.55,106.5069,Chongqing,8261000,7
Hanoi,Hanoi,21.0245,105.8412,HÃ  Ná»™i,8246600,19
Fuyang,Fuyang,32.8986,115.8045,Anhui,8200264,7
Changsha,Changsha,28.1987,112.9709,Hunan,8154700,7
Dongguan,Dongguan,23.0475,113.7493,Guangdong,8142000,7
Jining,Jining,35.4,116.5667,Shandong,8081905,7
Jinan,Jinan,36.6667,116.9833,Shandong,7967400,7
Pune,Pune,18.5196,73.8553,MahÄrÄshtra,7948000,3
Foshan,Foshan,23.0292,113.1056,Guangdong,7905700,7
BogotÃ¡,Bogota,4.6126,-74.0705,BogotÃ¡,7743955,26
Nanjing,Nanjing,32.05,118.7667,Jiangsu,7729000,7
Ahmedabad,Ahmedabad,23.03,72.58,GujarÄt,7717000,3
Changchun,Changchun,43.9,125.2,Jilin,7674439,7
Tangshan,Tangshan,39.6292,118.1742,Hebei,7577289,7
Cangzhou,Cangzhou,38.3037,116.8452,Hebei,7544300,7
Dar es Salaam,Dar es Salaam,-6.8,39.2833,Dar es Salaam,7461000,27
Hefei,Hefei,31.8639,117.2808,Anhui,7457027,7
Shaoyang,Shaoyang,27.2418,111.4725,Hunan,7370500,7
Zhanjiang,Zhanjiang,21.1967,110.4031,Guangdong,7332000,7
Shangqiu,Shangqiu,34.4259,115.6467,Henan,7325300,7
Nantong,Nantong,31.9829,120.8873,Jiangsu,7283622,7
Yancheng,Yancheng,33.3936,120.1339,Jiangsu,7260240,7
Nanning,Nanning,22.8192,108.315,Guangxi,7254100,7
Hengyang,Hengyang,26.8968,112.5857,Hunan,7243400,7
Zhumadian,Zhumadian,32.9773,114.0253,Henan,7231234,7
Shenyang,Shenyang,41.8039,123.4258,Liaoning,7208000,7
Xingtai,Xingtai,37.0659,114.4753,Hebei,7104103,7
Xiâ€™an,Xi'an,34.2667,108.9,Shaanxi,7090000,7
Santiago,Santiago,-33.45,-70.6667,RegiÃ³n Metropolitana,7026000,29
Yantai,Yantai,37.3997,121.2664,Shandong,6968202,7
Riyadh,Riyadh,24.65,46.71,Ar RiyÄá¸‘,6889000,30
Luoyang,Luoyang,34.6587,112.4245,Henan,6888500,7
Kunming,Kunming,25.0433,102.7061,Yunnan,6850000,7
Shangrao,Shangrao,28.4419,117.9633,Jiangxi,6810700,7
Hangzhou,Hangzhou,30.25,120.1675,Zhejiang,6713000,7
Bijie,Bijie,27.3019,105.2863,Guizhou,6686100,7
Quanzhou,Quanzhou,24.9139,118.5858,Fujian,6480000,7
Miami,Miami,25.7839,-80.2102,Florida,6445545,10
Wuxi,Wuxi,31.5667,120.2833,Jiangsu,6372624,7
Huanggang,Huanggang,30.45,114.875,Hubei,6333000,7
Maoming,Maoming,21.6618,110.9178,Guangdong,6313200,7
Nanchong,Nanchong,30.7991,106.0784,Sichuan,6278614,7
Zunyi,Zunyi,27.705,106.9336,Guizhou,6270700,7
Qujing,Qujing,25.5102,103.8029,Yunnan,6155400,7
Xinyang,Xinyang,32.1264,114.0672,Henan,6109106,7
Baghdad,Baghdad,33.35,44.4167,BaghdÄd,6107000,31
Jieyang,Jieyang,23.5533,116.3649,Guangdong,6089400,7
Khartoum,Khartoum,15.6031,32.5265,Khartoum,6017000,32
Madrid,Madrid,40.4167,-3.7167,Madrid,6006000,33
AllahÄbÄd,Allahabad,25.45,81.85,Uttar Pradesh,5954391,3
Yulin,Yulin,22.6293,110.1507,Guangxi,5849700,7
Changde,Changde,29.0397,111.6839,Hunan,5827200,7
Liaocheng,Liaocheng,36.45,115.9833,Shandong,5789863,7
Qingdao,Qingdao,36.1167,120.4,Shandong,5775000,7
Dallas,Dallas,32.7936,-96.7662,Texas,5743938,10
Nangandao,Nangandao,35.2992,113.8851,Henan,5708191,7
Xiangyang,Xiangyang,32.0654,112.1531,Hubei,5680000,7
Philadelphia,Philadelphia,40.0077,-75.1339,Pennsylvania,5649300,10
Luâ€™an,Lu'an,31.7542,116.5078,Anhui,5611701,7
Giza,Giza,29.987,31.2118,Al JÄ«zah,5598402,9
Zhaotong,Zhaotong,27.3328,103.7144,Yunnan,5591000,7
Yichun,Yichun,27.8041,114.383,Jiangxi,5573200,7
Dezhou,Dezhou,37.4513,116.3105,Shandong,5568235,7
Nanchang,Nanchang,28.6842,115.8872,Jiangxi,5545500,7
Nairobi,Nairobi,-1.2864,36.8172,Nairobi City,5545000,34
Taiâ€™an,Tai'an,36.2001,117.0809,Shandong,5494207,7
Dazhou,Dazhou,31.2152,107.4947,Sichuan,5468097,7
Houston,Houston,29.7863,-95.3889,Texas,5464251,10
